"Date (UTC)","Timestamp (UTC)","Cut–Cut–Pause","Cut–Cut–Cut","Cut–Pause–Cut","Cut–Pause–Pause","Other","Pause–Cut–Pause","Pause–Cut–Cut"
"10-01-2025 00:00","1759276803","","0.495","","","","",""
"10-01-2025 00:00","1759276807","0.495","","","","","",""
"10-01-2025 00:00","1759276808","","","0.495","","0.495","0.495","0.495"
"10-01-2025 00:00","1759276809","","","","0.495","","",""
"10-02-2025 00:00","1759363204","0.29","0.275","","","","","0.035"
"10-02-2025 00:00","1759363206","","","","","0.022","",""
"10-02-2025 00:00","1759363208","","","","","","0.035",""
"10-02-2025 00:00","1759363209","","","","0.165","","",""
"10-02-2025 00:00","1759363210","","","0.135","","","",""
"10-03-2025 00:00","1759449605","","","0.135","0.16","","",""
"10-03-2025 00:00","1759449606","0.325","","","","","",""
"10-03-2025 00:00","1759449608","","0.285","","","","0.0285",""
"10-03-2025 00:00","1759449609","","","","","0.022","",""
"10-03-2025 00:00","1759449611","","","","","","","0.0265"
"10-04-2025 00:00","1759536004","0.42","","","","","",""
"10-04-2025 00:00","1759536005","","","","0.17","","",""
"10-04-2025 00:00","1759536006","","0.28","","","","","0.0245"
"10-04-2025 00:00","1759536007","","","","","0.0245","",""
"10-04-2025 00:00","1759536009","","","","","","0.021",""
"10-04-2025 00:00","1759536010","","","0.13","","","",""
"10-05-2025 00:00","1759622402","","","","","0.025","",""
"10-05-2025 00:00","1759622403","","","0.095","","","0.02",""
"10-05-2025 00:00","1759622405","","","","0.17","","",""
"10-05-2025 00:00","1759622406","","0.285","","","","","0.0255"
"10-05-2025 00:00","1759622408","0.425","","","","","",""
"10-06-2025 00:00","1759708804","0.44","0.285","","0.165","","","0.0205"
"10-06-2025 00:00","1759708806","","","","","","0.021",""
"10-06-2025 00:00","1759708808","","","","","0.025","",""
"10-06-2025 00:00","1759708809","","","0.09","","","",""
"10-07-2025 00:00","1759795202","","","","","","","0.0295"
"10-07-2025 00:00","1759795204","","","","","","0.029",""
"10-07-2025 00:00","1759795205","","","0.075","","","",""
"10-07-2025 00:00","1759795206","","","","","0.0245","",""
"10-07-2025 00:00","1759795208","0.45","","","","","",""
"10-07-2025 00:00","1759795210","","","","0.15","","",""
"10-07-2025 00:00","1759795211","","0.275","","","","",""
"10-08-2025 00:00","1759881602","","","","0.115","","",""
"10-08-2025 00:00","1759881603","","","","","","0.029",""
"10-08-2025 00:00","1759881606","","","","","","","0.0295"
"10-08-2025 00:00","1759881612","0.45","","0.065","","","",""
"10-08-2025 00:00","1759881613","","0.265","","","","",""
"10-08-2025 00:00","1759881615","","","","","0.0245","",""
"10-09-2025 00:00","1759968005","","","","","0.0315","",""
"10-09-2025 00:00","1759968006","","","","0.125","","","0.0225"
"10-09-2025 00:00","1759968007","0.45","","","","","",""
"10-09-2025 00:00","1759968012","","0.21","0.085","","","",""
"10-09-2025 00:00","1759968014","","","","","","0.0235",""
"10-10-2025 00:00","1760054404","0.45","","","","","",""
"10-10-2025 00:00","1760054412","","","0.09","","","",""
"10-10-2025 00:00","1760054414","","0.21","","0.205","","",""
"10-10-2025 00:00","1760054415","","","","","0.0315","0.023",""
"10-10-2025 00:00","1760054417","","","","","","","0.0225"
"10-11-2025 00:00","1760140806","","","","","","0.0215",""
"10-11-2025 00:00","1760140807","0.45","0.215","0.1","","","",""
"10-11-2025 00:00","1760140809","","","","0.18","0.0315","",""
"10-11-2025 00:00","1760140814","","","","","","","0.02"
"10-12-2025 00:00","1760227204","","","","","","","0.02"
"10-12-2025 00:00","1760227205","0.45","","","","","",""
"10-12-2025 00:00","1760227210","","","","0.165","","",""
"10-12-2025 00:00","1760227214","","","0.1","","","",""
"10-12-2025 00:00","1760227216","","","","","0.0315","",""
"10-12-2025 00:00","1760227218","","0.22","","","","0.019",""
"10-13-2025 00:00","1760313606","","","","","","0.019",""
"10-13-2025 00:00","1760313607","","","","0.16","","",""
"10-13-2025 00:00","1760313610","","","0.1","","","",""
"10-13-2025 00:00","1760313615","0.45","0.22","","","","",""
"10-13-2025 00:00","1760313616","","","","","0.0315","","0.019"
"10-14-2025 00:00","1760400007","0.45","","","","","",""
"10-14-2025 00:00","1760400009","","","","","","","0.016"
"10-14-2025 00:00","1760400016","","","","","0.0315","0.022",""
"10-14-2025 00:00","1760400018","","0.22","0.095","","","",""
"10-14-2025 00:00","1760400019","","","","0.16","","",""
"10-15-2025 00:00","1760486408","","","","0.125","","",""
"10-15-2025 00:00","1760486412","0.47","","","","","0.0215",""
"10-15-2025 00:00","1760486413","","","","","0.032","",""
"10-15-2025 00:00","1760486415","","","","","","","0.0145"
"10-15-2025 00:00","1760486416","","","0.095","","","",""
"10-15-2025 00:00","1760486417","","0.255","","","","",""
"10-16-2025 00:00","1760572807","0.5","","","","","",""
"10-16-2025 00:00","1760572809","","0.275","","","","",""
"10-16-2025 00:00","1760572810","","","","","","","0.0055"
"10-16-2025 00:00","1760572818","","","0.075","","","",""
"10-16-2025 00:00","1760572819","","","","0.055","0.0315","0.0075",""
"10-17-2025 00:00","1760659203","","0.355","","","","",""
"10-17-2025 00:00","1760659204","","","0.08","","","",""
"10-17-2025 00:00","1760659206","","","","0.045","","",""
"10-17-2025 00:00","1760659210","","","","","0.03","",""
"10-17-2025 00:00","1760659211","","","","","","0.006","0.0025"
"10-17-2025 00:00","1760659212","0.495","","","","","",""
"10-18-2025 00:00","1760745603","","","0.065","","","",""
"10-18-2025 00:00","1760745609","","","","","0.0255","",""
"10-18-2025 00:00","1760745611","","","","","","","0.0035"
"10-18-2025 00:00","1760745614","","","","0.025","","",""
"10-18-2025 00:00","1760745617","","","","","","0.012",""
"10-18-2025 00:00","1760745619","0.455","","","","","",""
"10-18-2025 00:00","1760745622","","0.42","","","","",""
"10-19-2025 00:00","1760832005","","0.425","0.055","0.025","","",""
"10-19-2025 00:00","1760832006","","","","","","","0.013"
"10-19-2025 00:00","1760832008","0.475","","","","","0.014",""
"10-19-2025 00:00","1760832013","","","","","0.026","",""
"10-20-2025 00:00","1760918403","","0.425","","","","",""
"10-20-2025 00:00","1760918414","","","","","0.027","",""
"10-20-2025 00:00","1760918415","0.475","","","","","",""
"10-20-2025 00:00","1760918416","","","0.05","","","",""
"10-20-2025 00:00","1760918418","","","","","","","0.009"
"10-20-2025 00:00","1760918420","","","","0.0245","","",""
"10-20-2025 00:00","1760918421","","","","","","0.0085",""
"10-21-2025 00:00","1761004803","","","","","0.0275","",""
"10-21-2025 00:00","1761004805","0.485","","","","","",""
"10-21-2025 00:00","1761004806","","","0.05","","","",""
"10-21-2025 00:00","1761004808","","","","","","","0.0095"
"10-21-2025 00:00","1761004812","","","","0.0255","","0.0125",""
"10-21-2025 00:00","1761004815","","0.425","","","","",""
"10-22-2025 00:00","1761091207","0.485","","","","","",""
"10-22-2025 00:00","1761091213","","","","0.0255","","0.0135",""
"10-22-2025 00:00","1761091215","","","0.045","","","",""
"10-22-2025 00:00","1761091221","","0.43","","","","",""
"10-22-2025 00:00","1761091227","","","","","0.0275","","0.0085"
"10-23-2025 00:00","1761177606","0.485","","","","","",""
"10-23-2025 00:00","1761177608","","","","0.021","","0.0115",""
"10-23-2025 00:00","1761177609","","","0.0285","","","",""
"10-23-2025 00:00","1761177611","","0.445","","","","",""
"10-23-2025 00:00","1761177612","","","","","","","0.0095"
"10-23-2025 00:00","1761177613","","","","","0.0265","",""
"10-24-2025 00:00","1761264008","0.475","","","","","",""
"10-24-2025 00:00","1761264011","","","","0.0135","","",""
"10-24-2025 00:00","1761264012","","","0.0265","","","0.0025",""
"10-24-2025 00:00","1761264017","","0.455","","","","",""
"10-24-2025 00:00","1761264023","","","","","0.0225","","0.0015"
"10-25-2025 00:00","1761350408","0.455","","","","","",""
"10-25-2025 00:00","1761350412","","","0.0515","0.018","","0.0055",""
"10-25-2025 00:00","1761350416","","0.445","","","","",""
"10-25-2025 00:00","1761350420","","","","","0.0165","","0.0075"
"10-26-2025 00:00","1761436808","0.395","","","","","",""
"10-26-2025 00:00","1761436812","","","","0.0125","","0.022",""
"10-26-2025 00:00","1761436813","","","0.0625","","","",""
"10-26-2025 00:00","1761436818","","0.445","","","","",""
"10-26-2025 00:00","1761436824","","","","","","","0.02"
"10-26-2025 00:00","1761436825","","","","","0.0095","",""
"10-27-2025 00:00","1761523208","0.405","","","","","",""
"10-27-2025 00:00","1761523212","","","","0.017","","0.014",""
"10-27-2025 00:00","1761523213","","","0.072","","","",""
"10-27-2025 00:00","1761523217","","0.445","","","","",""
"10-27-2025 00:00","1761523221","","","","","0.017","","0.021"
"10-28-2025 00:00","1761609608","0.405","","","","","",""
"10-28-2025 00:00","1761609613","","","","0.0145","","",""
"10-28-2025 00:00","1761609614","","","","","","0.017",""
"10-28-2025 00:00","1761609615","","","0.1165","","","",""
"10-28-2025 00:00","1761609620","","0.44","","","","",""
"10-28-2025 00:00","1761609626","","","","","","","0.0165"
"10-28-2025 00:00","1761609627","","","","","0.017","",""
"10-29-2025 00:00","1761696008","0.41","","","","","",""
"10-29-2025 00:00","1761696012","","","","0.028","","",""
"10-29-2025 00:00","1761696013","","","0.0785","","","0.017",""
"10-29-2025 00:00","1761696019","","0.44","","","","",""
"10-29-2025 00:00","1761696025","","","","","0.011","","0.0215"
"10-30-2025 00:00","1761782408","0.455","","","","","",""
"10-30-2025 00:00","1761782413","","","","0.1445","","",""
"10-30-2025 00:00","1761782414","","","0.0835","","","",""
"10-30-2025 00:00","1761782419","","0.305","","","","",""
"10-30-2025 00:00","1761782426","","","","","0.009","",""
"10-31-2025 00:00","1761868806","0.425","","","","","",""
"10-31-2025 00:00","1761868809","","","0.093","0.1335","","",""
"10-31-2025 00:00","1761868813","","0.275","","","","",""
"10-31-2025 00:00","1761868817","","","","","0.01","",""
"11-01-2025 00:00","1761955207","0.47","","","","","",""
"11-01-2025 00:00","1761955213","","","0.1205","0.1255","","",""
"11-01-2025 00:00","1761955219","","0.275","","","","",""
"11-01-2025 00:00","1761955225","","","","","0.012","",""
"11-02-2025 00:00","1762041607","0.41","","","","","",""
"11-02-2025 00:00","1762041611","","","0.131","0.128","","",""
"11-02-2025 00:00","1762041615","","0.225","","","","",""
"11-02-2025 00:00","1762041620","","","","","0.0225","",""
"11-03-2025 00:00","1762128006","0.4","","","","","",""
"11-03-2025 00:00","1762128011","","","0.1465","0.151","","",""
"11-03-2025 00:00","1762128018","","0.2","","","","",""
"11-03-2025 00:00","1762128024","","","","","0.021","",""
"11-04-2025 00:00","1762214407","0.405","","","","","",""
"11-04-2025 00:00","1762214412","","","","0.168","","",""
"11-04-2025 00:00","1762214413","","","0.213","","","",""
"11-04-2025 00:00","1762214418","","0.17","","","","",""
"11-04-2025 00:00","1762214423","","","","","0.0325","",""
"11-05-2025 00:00","1762300807","0.47","","","","","",""
"11-05-2025 00:00","1762300812","","","","0.1615","","",""
"11-05-2025 00:00","1762300813","","","0.2225","","","",""
"11-05-2025 00:00","1762300819","","0.14","","","","",""
"11-05-2025 00:00","1762300827","","","","","0.024","",""
"11-06-2025 00:00","1762387205","0.495","","","","","",""
"11-06-2025 00:00","1762387208","","","0.176","0.1425","","",""
"11-06-2025 00:00","1762387212","","0.15","","","","",""
"11-06-2025 00:00","1762387216","","","","","0.0065","",""
"11-06-2025 17:49","1762451346","","0.18","","","","",""
"11-06-2025 17:49","1762451347","","","","","0.0215","",""
"11-06-2025 17:50","1762451405","0.515","","","","","",""
"11-06-2025 17:50","1762451406","","","0.165","0.153","","",""